Comment,Timestamp,Sentiment
why is she smiling ?,2023-09-20T12:36:39Z,0.4588
What’s funny is now that he is out of office hunter biden is being prosecuted for his dealings in Ukraine 😂😂,2023-09-15T23:42:26Z,0.0772
I don't think QUEEN Pelosi's praying for The PRESIDENT of the United States of America any more! She's one pissed off Mother!,2021-02-14T02:38:34Z,-0.1896
"Young people, no matter what you are being taught in school, no matter what every television network tells you, if you have hate in your heart for anybody, anybody at all, your hate won't destroy the person you hate. Your hate will destroy you as it completely consumes every aspect of your life, your thinking, and eventually even your physical health. Forget the song, ""Let it snow, let it snow."" When it comes to hate, you must, ""Let it go, let it go.""",2021-01-29T22:10:08Z,-0.9578
MOST HATED WOMAN IN AMERICA,2021-01-15T02:50:40Z,-0.6697
"MMM- Peach 🍑🍑🍑
My Favorite flavor of the month 🍦🧁😱😑🍨🍧🍑🍑🍑🍑🍑🍑",2021-01-12T06:04:22Z,0.4588
So tired of see hearing this women we need a fresh young man 🙂 in this house 🏘️,2021-01-03T22:04:37Z,-0.2247
"""""Remember the
Impeachment Farce"""""""" and Nancy Pelosi and others standing
on the Founding Fathers as the core of this Nation the Flag God the
Constitution Rule of law as a reason to Impeach the President""""""
but then a few months later they were kneeling in solidarity against those same
values of God Constitution Flag and the Founding Fathers Rule of law """"who
they now call Racist. Watch the videos of their outrageous and obvious lies and
hypocrisy about who they are and what they really stand for moment by politically
advantageous moment. Which proves they don’t give a dam about us but
only the power.",2020-07-17T20:31:51Z,-0.34
They should have chosen somebody that can speak as speaker.,2020-07-17T20:29:00Z,0.0
"I want people to come back and look at the ice cream eating democrats; After the corona virus out break, individuals and small businesses across America lost all of they're income. They still have bills to pay and mouths to feed and after all this time most small businesses haven't received their funding- so what does nancy pelosi do after voting to starve small businesses out? well she decided to pose in front of her 2 ice cream filled freezers during a home conference video! Pelosi wanted America to see her in front of her 20,000$ freezers while this countries small businesses disintegrate!! I hope voters are paying attention to this on November 3rd I hope voters from all backgrounds remember the pathetic ice cream eating Nancy Pelosi and her corrupted squad members👍",2020-04-19T11:10:58Z,-0.4898
Demon smirk,2020-04-18T06:09:44Z,0.0
"I am a Roman Catholic, but I feel ashamed and humiliated when Nancy says she is a Catholic, if she was a true Catholic she would never have done bad things. so bad ...",2020-04-04T10:43:45Z,0.6124
The Emmy will do everything in its power to put a witch in the Whitehouse........Kim Clement...,2020-02-18T22:51:28Z,-0.3612
