Comment,Sentiment
❤❤❤,0.0
this is a very important speech.,0.2716
watching this again.,0.0
"Trump's UN addresses are some of the most powerful speeches ever. They need more exposure and views. Please share these. 
💕⚘🇺🇸💕Trump 2024 💕🇺🇸⚘💕",0.7645
Trump 2024 #trump2024  #trumpdecriminalizehomosexuality #trumpcallsforunitednationsdecriminalizehomosexuality,0.0
We need him now more than ever,0.0
100% the best speech in the history of mankind.,0.6369
"I don't understand the people who find this man UnAmerican. He deserved 2020, more respect to him from Cameroon",0.5256
"By far, the greatest speech ever made.",0.6369
He acts like he is taking care of Americans and then did absolutely jack S* for the bottom 20% who are struggling to survive,0.4404
"Trump quoting Clinton ""we who human traffick human""😶",0.0
You and Hillary see that like why she likes getting called the anti christ,0.4588
When did Donald start the stopping of his lying,-0.6124
I truly miss this man,0.3182
Wow ..,0.5859
"No God but Allah!!!
ITAFNIHNMIINS",-0.2325
T,0.0
"He warned us repeatedly against NATO countries’ funding of Putin’s war Machine. The Leftists mocked him, called him a Nazi (has  he murdered his Jewish daughter yet???). His meeting with the NATO Sec-Gen in 2018 is pretty interesting, was very very direct and clear that dependence on Russia’s fossil fuels was extremely dangerous. But he was thought a pal of Putin because of his NYC commercial real estate  negotiating  style of “butter-them-up in public to appeal to their vanity, then kick them in the balls behind closed doors.”  …then tell them to straighten their tie and smile  . —“Keep your friends close and your enemies closer.”
I get some people dislike his style, but only morons call him a Nazi or friend of Putin. But that is because they have so much hate they can’t see straight and believe every rumor his enemies invent.",-0.9157
At least he’ll go down in history as a freaking lunatic dictator wannabe.,-0.7184
"I’m a Democrat and Trump is an absolute legend. 
I can’t believe we voted this man out of office.",0.0
Better news than what the NBC normally does they do their own twist better to let his words ring true. This is what the leader of the Free World looks like ya'll,0.9246
"Whoever the powers be..Strike him out again..but this time with GUSTO.
What a fool..on behalf of America.e  ""NUT"".",0.0
Omg..deserves looking at again.you know good and samn he didnt write this. He barely read it and the United Nations deserved to laugh at this stupid sob,0.5994
"What an amazing, courageous man!  God bless President Donald John Trump!!  And God bless America!",0.9529
Always amazed how people have learned nothing of the consequences of nationalism.,0.4939
