Video ID,News Channel,Comment ID,Comment,Published At,Likes,Sentiment
QjgOie-m5-I,ABC News,UgxjO6i2k5pafVoy8c14AaABAg,"OH MY GOD NO.PLEASE. I voted for Bidden and in 8 years America went to str8 he'll inside and out. Worst vote i ever made. I'm with the rock..no way in hell i endorse. Single Handedly made America look like a joke to the people and the entire world. Proud American and struggling worse than I ever have in my life also coincidentally one of the worst days of my life you got inaugurated. 🤷🏽‍♂️ Not holding that against you, I'm holding every sleepy joe meme and let's go Brandon statement being made about you against you. I've watched the man I voted for for years stumble and mumble. Walk around aimlessly looking lost dazed even confused. Not one accusation I'm making.. acknowledgements I'm stating as the entire world beholds. The Kamala Harris/BLM/ campaign you built. Idk if u think this shyt is a game for likes or for follows. Personal achievements or goals to become president, but you really laid into our asses and pockets with that bullshyt. We starving , dying,  forced to separate or even worse; live together. You jack the gas/food/cost of living and give our money to Ukraine. Btw, how did that go? Sit here and tell the world what you don't publicize. What media don't cram down the throats of our nation on TikTok Facebook Instagram Twitter.....tell them that"" Ukraine stole our money"", and CANNOT tell America where all that money went.  Tell them that we got scammed. You only heard zolensky (however you spell it) begging for more and more and more money. Media announces we gave it to him. ""where is it?"" Where is he with it, and better yet; why we were so worried about them anyway? Let them fight themselves. As long as they didn't mess with us. We can make everything we need and produce everything we need right here at home. Now into trump. You think I'm gonna slander? Nope. I thought I picked the lesser of the evil but the more evil overpowered the world. Never mind during trump 4 years. Police brutality and racism ran rampant. So disorderly and barbaric. It's the years of 2000. The future is upon neigh. You simply can't have a race war when everybody is mixed blood. That's asking family to fight family. I'm black and proud but keep that to myself. I have nothing to prove until it's time to prove it. Evolved, I believe I'm a very dangerous weapon and Believe that solely due to my principle belief. I believe that the most dangerous thing in America is a powerful black man with an education. That's a different playing field. Ask me how and I'll explain. 
 Trump should get his last 4 years. Win win situation. We are prepared for his mentality under his leadership; wiser than before through evolution. We can handle ourselves. What we as black people can't handle is a fractured administration system. Hopefully through evolution trump will take his last 4 years (🙏🏽) Come through on that promise to make Mexico build the wall, reform to  a new affordable health care act, and bring stability back to American retail value and gas prices. Win win because if he does get back in office, hopefully actually stop immigrants from entering America LIKE EVERY OTHER PRESIDENT tried and failed like TRUMP did his first 4 years. Second chance is ok with me as long as you do right. I may even vote for trump. I'm definitely picking the lesser of the evil this time because ""this is the worst presidency I've lived in in my 40 years on earth""",2024-04-07T18:42:40Z,0,-0.8383
QjgOie-m5-I,ABC News,Ugx6LUNhM7wo8T6csE14AaABAg,"Jesus, 
PUNISH THE CORRUPT FBI, CIA, JUDGES,  Democrats, all who support the killing of babies; Barack HUSSEIN Obama (musulman), Biden Pelosi, excommunicated Catholics who support abortion, Democrats and who raise at Trump with false innuendos, lies, wish him evil, curse him and his wife, family, and supporters and hate him with passion. Dominus thwart the evil plans and projects of these corrupt officials and politicians and those mentioned above who hate him, as you did with your enemies in the Old Testament; Sin speaks to these CORRUPT politicians and CORRUPT LAW ENFORCEMENT enemies of Trump, in the depths of their heart, In their mouth are mischief and deceit, All wisdom is gone. They plot the defeat of goodness as they lie on their bed. They have set their foot on evil ways, they cling to what is evil. Dominus, do justice to our FORMER president Trump, defend his cause against these merciless enemies, and defend him, his family, and his friends from these corrupt political men and women, FBI, CIA, state officials, and evil-doers. Dominus, UNLOAD on these immoral, corrupt, politicians and judges and LEADERS AND WORKERS OF FEDERAL, STATE, COUNTY, AND CITY LAW ENFORCEMENT the ardor of your anger and the burning flames of your punishment!!! You are Trump’s God!!! Protect him!!!! Give him your light and your truth that they guide him, fill him with intelligence wisdom, and understanding so he can successfully put an end to these corrupt politicians, FBI, CIA, JUDGES, state officials, ETC., and together with You, God of the Hebrews our father Yahweh send these corrupt politicians and LAW ENFORCEMENT OFFICIALS enemies of Trump possessed by satan; to the place where they belong WHEN THEY DIE AND THREE DAYS OF DARKNESS OCCUR!!! Dominus, GOD OF  THE HEBREWS, GOD OF THE ISRAELITES, OUR FATHER YAHWEH: help our former President Trump with WISDOM, INTELLIGENCE, GIVE TRUMP WHAT YOU ASK OF HIM!!! help Trump make good, just, and necessary decisions that please you. Dominus, be next to our former President Trump and allow him to win in the next election so that JUSTICE PREVAIL AND YOUR NAME BE GLORIFIED through him and the men of goodwill here on earth. Dominus, remember that former President Trump PROTECTS THE LIFE OF BABIES, remember that he MOVED the American Embassy to Jerusalem, your chosen country, which no other president of the United States had done out of fear of these corrupt politicians. Amen. Amen. Amen.  VOTE REPUBLICAN.",2024-01-12T06:29:09Z,0,-0.6591
QjgOie-m5-I,ABC News,UgwCVbaU0S6eHzBaD1t4AaABAg,The debate between biden and trump should be on ppv i cant wait to see trump crush him the amount of damage biden has done to this country he cant answer for the border problem alone will cost him the election,2023-10-15T22:36:25Z,0,-0.8176
QjgOie-m5-I,ABC News,UgzUtrYsOGxXJsRwnRd4AaABAg,"supported you in 2020 Joe, but not this time. You've made a mess of everything,  You've hurt my family, Joe gas is $2.00+ more a gallon over now than 2020, 4%+  inflation is your fault, not covids not trumps you own it. The southern border is not secure our towns and cities are overrun with illegal immigrant homeless, our retirement accounts are being destroyed. Joe your policies have hurt the poor, middle class but the rich are wealthier. No not voting for you again, Joe Biden you failed the country.",2023-09-22T00:09:06Z,0,-0.9839
QjgOie-m5-I,ABC News,UgznjckJ-UMDAbw0xBF4AaABAg,"Hmmmm... 
Twitter will not help this time. Dunno if Meta, Google, Apple will do it again.
............
Actually it was Trump who devised the downsizing of Apple -- Chip sanction blindly followed by Biden. 
😅😅😅😅😅😅
Just a scary thought --- if Biden is reelected the soul of America will disappear.🤬🤔",2023-09-20T00:48:54Z,0,-0.666
QjgOie-m5-I,ABC News,UgyR1_Dxkjr_k2soHUx4AaABAg,"Байден это не президент, а дурачек в Белом доме😂😅
Он не управляет страной США, а строит заговоры в России. Он пытается всеми силами убить меня, моего сына и внуков, только за то, что мы Романовы и являемся прямыми наследниками русского престола Российской Империи. Это Байден не может пережить😂, он уже давно потерял сон😢, не может уже жить без России😮, так хочет сюда войти , как царь😢, а у него не вышло. Все из за этого дурацкого Путина и его шайки бандитов, которые все стали дураками от алкоголя и наркотиков. Путин это уже выживший из ума старик, который везде посылает двойников, вместо себя😂, он не может управлять страной. И Байден растроился 😮😢
Байден уже подкупил за деньги всех моих родственников, друзей, сослуживцев, и даже соседей по даче в Троицком, Мытищинский район, Московская область, все в Троицком работают на Байдена, ищут меня, чтобы убить и уничтожить тело. Это была задумка Байдена, чтобы следов не оставалось .",2023-09-14T08:48:05Z,0,0.0
QjgOie-m5-I,ABC News,UgxU844XGxajHOjMRJV4AaABAg,"He had the worst possible first term, probably worst in US history.  He will need 90M ""legitimate"", not fraudulent, votes to beat Trump.  There are not that many stupid voters in America, at least I don't think there are.  I would say he will get maybe 40M legit votes, maybe.  But even that is hard to believe.",2023-09-11T02:14:45Z,0,-0.6365
QjgOie-m5-I,ABC News,UgxCocS2ANvrchNMrF94AaABAg,Well Biden cheated in the last election,2023-09-02T18:10:08Z,0,-0.296
QjgOie-m5-I,ABC News,UgzYeMRtqiDbWJrwbeh4AaABAg,Jan 6th was staged you haven't fought for anything,2023-09-02T18:08:30Z,0,0.2411
QjgOie-m5-I,ABC News,UgxFHD0sTVJSV0w2b954AaABAg,He's the reason we should go back to being a part of the United Kingdom 😂 Make America Great Britain again 🤣,2023-08-11T21:41:24Z,0,0.7845
