Comment,Timestamp
why is she smiling ?,2023-09-20T12:36:39Z
What’s funny is now that he is out of office hunter biden is being prosecuted for his dealings in Ukraine 😂😂,2023-09-15T23:42:26Z
I don't think QUEEN Pelosi's praying for The PRESIDENT of the United States of America any more! She's one pissed off Mother!,2021-02-14T02:38:34Z
"Young people, no matter what you are being taught in school, no matter what every television network tells you, if you have hate in your heart for anybody, anybody at all, your hate won't destroy the person you hate. Your hate will destroy you as it completely consumes every aspect of your life, your thinking, and eventually even your physical health. Forget the song, ""Let it snow, let it snow."" When it comes to hate, you must, ""Let it go, let it go.""",2021-01-29T22:10:08Z
MOST HATED WOMAN IN AMERICA,2021-01-15T02:50:40Z
"MMM- Peach 🍑🍑🍑
My Favorite flavor of the month 🍦🧁😱😑🍨🍧🍑🍑🍑🍑🍑🍑",2021-01-12T06:04:22Z
So tired of see hearing this women we need a fresh young man 🙂 in this house 🏘️,2021-01-03T22:04:37Z
"""""Remember the
Impeachment Farce"""""""" and Nancy Pelosi and others standing
on the Founding Fathers as the core of this Nation the Flag God the
Constitution Rule of law as a reason to Impeach the President""""""
but then a few months later they were kneeling in solidarity against those same
values of God Constitution Flag and the Founding Fathers Rule of law """"who
they now call Racist. Watch the videos of their outrageous and obvious lies and
hypocrisy about who they are and what they really stand for moment by politically
advantageous moment. Which proves they don’t give a dam about us but
only the power.",2020-07-17T20:31:51Z
They should have chosen somebody that can speak as speaker.,2020-07-17T20:29:00Z
"I want people to come back and look at the ice cream eating democrats; After the corona virus out break, individuals and small businesses across America lost all of they're income. They still have bills to pay and mouths to feed and after all this time most small businesses haven't received their funding- so what does nancy pelosi do after voting to starve small businesses out? well she decided to pose in front of her 2 ice cream filled freezers during a home conference video! Pelosi wanted America to see her in front of her 20,000$ freezers while this countries small businesses disintegrate!! I hope voters are paying attention to this on November 3rd I hope voters from all backgrounds remember the pathetic ice cream eating Nancy Pelosi and her corrupted squad members👍",2020-04-19T11:10:58Z
Demon smirk,2020-04-18T06:09:44Z
"I am a Roman Catholic, but I feel ashamed and humiliated when Nancy says she is a Catholic, if she was a true Catholic she would never have done bad things. so bad ...",2020-04-04T10:43:45Z
The Emmy will do everything in its power to put a witch in the Whitehouse........Kim Clement...,2020-02-18T22:51:28Z
"🛑  Congressman Collins,Says It's Time for Angry Democrat sore loser Nancy Pelosi to Get Over Impeachment. Trump was exonerated of all charges. Stop wasting $millions$ in taxpayer money on  more impeachment nonsense. Get busy Cleaning up your San Francisco. It is a drug infested homeless hell hole.",2020-02-17T18:36:45Z
THERE IS  A   SCHIFT OF INTELLIGENCE  IN THE  DEMONCRATIC PARTY,2020-02-11T11:12:24Z
IS  SHE  A   PART  OF  A  GANG.,2020-02-11T11:09:52Z
THE  DEMOCRATIC  PARTY  JUST  ENDED  THEIR  PARTY,2020-02-11T11:08:59Z
"Hey Pelosi, how does it feel to have been utterly disgraced, defeated,  and humiliated?",2020-02-08T14:43:58Z
"Good afternoon. Last Tuesday, we observed the anniversary of the adoption of the Constitution on September 17th. Sadly, on that day, the Intelligence Community Inspector General formally notified the Congress that the administration was forbidding him from turning over a whistleblower complaint on Constitution Day.
This is a violation of the law. Shortly thereafter, press reports began to break of a phone call by the President of the United States, calling upon a foreign power to intervene in his election. This is a breach of his constitutional responsibilities.
The facts are these. The Intelligence Community Inspector General, who was appointed by President Trump, determined that the complaint is both of urgent concern and credible, and its disclosure, he went on to say, relates to one of the most significant and important of the Director of National Intelligence's responsibility to the American people.
On Thursday, the Inspector General testified before the House Intelligence Committee, stating that the Acting Director of National Intelligence barred him from disclosing the whistleblower complaint. This is a violation of law.
The law is unequivocal. The DNI staff, it says the DNI — DNI, Director of National Intelligence—
shall provide Congress the full whistleblower complaint. For more than 25 years, I've served on the Intelligence Committee as a member — as the Ranking Member as part of the Gang of Four even before I was in the leadership.
I was there when we created the Office of the Director of National Intelligence. That did not exist before 2004. I was there even earlier in the '90s when we wrote the whistleblower laws and continue to write them to improve them to ensure the security of our intelligence and the safety of our whistleblowers.
I know what their purpose was and we proceeded with balance and caution as we wrote the laws. I can say with authority the Trump administration's actions undermine both our national security and our intelligence and our protections of the whistleblowers, more than both.
This Thursday, the Acting DNI will appear before the House Intelligence Committee. At that time, he must turn over the whistleblower's full complaint to the Committee. He will have to choose whether to break the law or honor his responsibility to the Constitution.
On the final day of the Constitutional Convention in 1787, when our Constitution was adopted",2020-01-28T15:14:09Z
"Pshhhh it's sad how clueless people can be

TRUMP 2020",2020-01-16T21:22:56Z
"2:52- 3:20
Get's me everytime, it's truly beautiful. I believe at it's heart, the very true and pure reason for this move/action and why it IS the right choice to make! May God help us, and lead us all to do the Next Right Thing for ourselves and for our country!",2020-01-16T07:36:28Z
you can see her skull comin out of its skin  she has also learn to keep them cross bones from waving about  un controllable rest in peace  crazy nancy off to the old peoples home for you,2020-01-09T04:26:39Z
Nasty nancy ish an insult to all women.,2019-12-26T11:42:02Z
"what are those black lines on her eyelids?  Who applied her makeup like that?  good grief it is distracting, Were you drinking while putting on your makeup again nancy?",2019-12-05T20:02:59Z
2+2=5,2019-11-28T04:09:07Z
